year,quarter,state,total_amount
2020,4,punjab,61385950125.36096
2020,4,kerala,60354628146.528206
2020,4,uttarakhand,44793525148.55043
2020,4,assam,41896570410.55618
2020,4,jammu-&-kashmir,18835491533.372116
2020,4,himachal-pradesh,18562833049.61689
2020,4,chandigarh,11269761389.292454
2020,4,goa,10495948204.774748
2020,4,manipur,9322864763.212355
2020,4,puducherry,8704867687.697317
2020,4,dadra-&-nagar-haveli-&-daman-&-diu,5401022201.657007
2020,4,arunachal-pradesh,4916490571.583269
2020,4,nagaland,4674484793.408717
2020,4,tripura,4336127174.600502
2020,4,sikkim,3478811233.6953897
2020,4,meghalaya,2742103062.8698325
2020,4,ladakh,2128435645.6157355
2020,4,mizoram,1641547798.3444855
2020,4,andaman-&-nicobar-islands,1163559031.8109164
2020,4,lakshadweep,60222635.83416078
2021,1,telangana,925764294711.6781
2021,1,maharashtra,826297665672.1481
2021,1,karnataka,824654688368.5839
2021,1,andhra-pradesh,665483573110.0238
2021,1,rajasthan,540334805093.1662
2021,1,delhi,407618914073.4484
2021,1,madhya-pradesh,343776013856.9266
2021,1,uttar-pradesh,301157333903.5522
2021,1,west-bengal,265342329099.72876
2021,1,bihar,261211645134.41757
2021,1,tamil-nadu,248994548355.7765
2021,1,odisha,214074744871.1774
2021,1,gujarat,207689087807.7264
2021,1,haryana,166253734967.7046
2021,1,jharkhand,88218995417.299
2021,1,kerala,78304889421.41692
2021,1,chhattisgarh,70759874029.64711
2021,1,punjab,70638751138.1732
2021,1,assam,58865683539.978874
2021,1,uttarakhand,53840724374.61573
2021,1,jammu-&-kashmir,22658535200.990147
2021,1,himachal-pradesh,19407425837.193375
2021,1,goa,15292957292.196163
2021,1,chandigarh,14098923715.986065
2021,1,manipur,12294787812.063562
2021,1,puducherry,10485661122.26519
2021,1,dadra-&-nagar-haveli-&-daman-&-diu,5931265822.38701
2021,1,nagaland,5372774099.787002
2021,1,arunachal-pradesh,5259273930.90648
2021,1,tripura,4547799582.3169365
2021,1,sikkim,4038172857.5887995
2021,1,meghalaya,3173512128.636171
2021,1,ladakh,1893607463.1565084
2021,1,mizoram,1839651523.6870294
2021,1,andaman-&-nicobar-islands,1479586304.6661508
2021,1,lakshadweep,54085565.828162305
2021,2,telangana,1217637090667.1558
2021,2,maharashtra,1009186740700.1512
2021,2,karnataka,899455816734.1427
2021,2,andhra-pradesh,849357395992.5001
2021,2,rajasthan,613375018441.9299
2021,2,delhi,443800842728.4921
2021,2,madhya-pradesh,422755234467.1474
2021,2,uttar-pradesh,344724118647.19867
2021,2,bihar,344163741528.12836
2021,2,west-bengal,311780983507.7211
2021,2,tamil-nadu,269307866705.40533
2021,2,odisha,247155692566.2297
2021,2,gujarat,239705305407.89124
2021,2,haryana,196277389155.24814
2021,2,jharkhand,109601990595.00392
2021,2,kerala,84732360279.51007
2021,2,punjab,84093582165.40541
2021,2,chhattisgarh,78474931577.41791
2021,2,assam,67994144192.05651
2021,2,uttarakhand,60847850500.37209
2021,2,jammu-&-kashmir,30851844401.745327
2021,2,himachal-pradesh,22341314636.51139
2021,2,chandigarh,15748435878.37591
2021,2,manipur,13800446162.165174
2021,2,goa,12231896500.231983
2021,2,puducherry,11693505732.309483
2021,2,dadra-&-nagar-haveli-&-daman-&-diu,6315336922.837807
2021,2,arunachal-pradesh,6073626060.135818
2021,2,nagaland,5387861743.480473
2021,2,tripura,4742555610.393803
2021,2,sikkim,4429070664.067256
2021,2,meghalaya,3432038971.600052
2021,2,ladakh,2742701749.7281556
2021,2,mizoram,1880209122.2955546
2021,2,andaman-&-nicobar-islands,1700566281.4859135
2021,2,lakshadweep,54766927.31590305
2021,3,telangana,1392878031410.0337
2021,3,maharashtra,1286151011088.649
2021,3,karnataka,1230863666844.0452
2021,3,andhra-pradesh,982736499245.424
2021,3,rajasthan,773315215466.2139
2021,3,delhi,593142159289.7515
2021,3,madhya-pradesh,509127293286.806
2021,3,uttar-pradesh,405942273266.987
2021,3,west-bengal,404036578540.1891
2021,3,tamil-nadu,371788039880.6163
2021,3,bihar,367562518111.0272
2021,3,odisha,309347487386.64417
2021,3,gujarat,308074765755.0526
2021,3,haryana,241404269833.45096
2021,3,jharkhand,127911709889.34697
2021,3,kerala,115051044180.76044
2021,3,chhattisgarh,108283798959.33072
2021,3,punjab,106976742584.64557
2021,3,assam,89422971729.19218
2021,3,uttarakhand,74995373699.16942
2021,3,jammu-&-kashmir,43532527267.15979
2021,3,himachal-pradesh,29213130955.103745
2021,3,chandigarh,22213234330.07586
2021,3,manipur,18234967481.37633
2021,3,goa,15972863915.523317
2021,3,puducherry,15630013234.812304
2021,3,dadra-&-nagar-haveli-&-daman-&-diu,8611878205.583015
2021,3,arunachal-pradesh,7893130312.626661
2021,3,nagaland,6809505831.413696
2021,3,tripura,5980653290.316546
2021,3,sikkim,5460213228.935747
2021,3,meghalaya,4342892348.762053
2021,3,ladakh,4271523825.788018
2021,3,mizoram,2487870193.7751875
2021,3,andaman-&-nicobar-islands,2474456514.7257333
2021,3,lakshadweep,77606327.3975363
2021,4,telangana,1714147030738.144
2021,4,maharashtra,1599446300139.5627
2021,4,karnataka,1484858256583.0845
2021,4,andhra-pradesh,1157899881235.3228
2021,4,rajasthan,968474085590.2045
2021,4,delhi,755436518217.1716
2021,4,madhya-pradesh,663739667206.7728
2021,4,uttar-pradesh,549617948155.297
2021,4,west-bengal,505457466114.55634
2021,4,bihar,473956780481.38245
2021,4,tamil-nadu,448270139428.99646
2021,4,odisha,388169244787.8761
2021,4,gujarat,381006011614.7379
2021,4,haryana,308901423131.0737
2021,4,jharkhand,172538727126.83615
2021,4,chhattisgarh,143887397182.841
2021,4,kerala,138553184091.6192
2021,4,punjab,135730964586.62094
2021,4,assam,120773597264.23938
2021,4,uttarakhand,98527555752.95049
2021,4,jammu-&-kashmir,53540205360.59704
2021,4,himachal-pradesh,36103523614.25803
2021,4,goa,29135788419.361763
2021,4,chandigarh,27042597802.634987
2021,4,manipur,22339348689.859703
2021,4,puducherry,18656632404.974625
2021,4,dadra-&-nagar-haveli-&-daman-&-diu,11131678772.661322
2021,4,arunachal-pradesh,9489496796.976973
2021,4,nagaland,8490951058.2562475
2021,4,sikkim,7718631058.811584
2021,4,tripura,7469993239.717492
2021,4,meghalaya,5983930138.044245
2021,4,ladakh,4135682006.8325214
2021,4,andaman-&-nicobar-islands,3680262659.1663322
2021,4,mizoram,2956874314.6204367
2021,4,lakshadweep,101996371.05676202
2022,1,telangana,1943735602512.7183
2022,1,maharashtra,1822202783566.0823
2022,1,karnataka,1661064908591.0261
2022,1,andhra-pradesh,1288587527973.3196
2022,1,rajasthan,1088917735947.1703
2022,1,delhi,834819458547.2794
2022,1,madhya-pradesh,754010829977.3606
2022,1,uttar-pradesh,620094775435.3562
2022,1,west-bengal,604144805787.918
2022,1,bihar,543296974101.53925
2022,1,tamil-nadu,517607876385.32635
2022,1,odisha,445047818272.18896
2022,1,gujarat,438797017112.94684
2022,1,haryana,344916177380.77234
2022,1,jharkhand,202784646110.71698
2022,1,chhattisgarh,162883891852.7869
2022,1,kerala,157918465368.7163
2022,1,assam,152973208420.7375
2022,1,punjab,142476314027.3852
2022,1,uttarakhand,106393944395.51622
2022,1,jammu-&-kashmir,41114971206.78324
2022,1,himachal-pradesh,37198334576.01386
2022,1,goa,30657707737.479847
2022,1,chandigarh,28588537959.189377
2022,1,manipur,24960219786.955425
2022,1,puducherry,21636117832.215725
2022,1,dadra-&-nagar-haveli-&-daman-&-diu,12474096734.524778
2022,1,arunachal-pradesh,10762643335.316404
2022,1,nagaland,9628423623.696342
2022,1,tripura,8445196616.627711
2022,1,sikkim,7980971859.055337
2022,1,meghalaya,7267888128.280532
2022,1,andaman-&-nicobar-islands,4059428286.3626714
2022,1,ladakh,3873202654.456985
2022,1,mizoram,3229639398.3924494
2022,1,lakshadweep,109878865.30786012
2022,2,telangana,2300379601162.906
2022,2,maharashtra,2203290943446.4097
2022,2,karnataka,1990719820137.1475
2022,2,andhra-pradesh,1476353985674.0332
2022,2,rajasthan,1241171317170.1543
2022,2,delhi,980270853925.2728
2022,2,madhya-pradesh,863299712708.8926
2022,2,uttar-pradesh,746634723834.942
2022,2,west-bengal,709029829456.5793
2022,2,bihar,677679054628.6633
2022,2,tamil-nadu,593225362365.6465
2022,2,odisha,506537148433.5213
2022,2,gujarat,500531990195.2661
2022,2,haryana,400175505375.9077
2022,2,jharkhand,236825240518.00308
2022,2,chhattisgarh,188772085200.81006
2022,2,assam,178941350262.59686
2022,2,kerala,174507653635.11465
2022,2,punjab,165211976592.5289
2022,2,uttarakhand,129294217754.85274
2022,2,jammu-&-kashmir,57597148310.60875
2022,2,himachal-pradesh,46969331431.34613
2022,2,goa,35795418697.22103
2022,2,chandigarh,32540239921.434475
2022,2,manipur,26506013948.85776
2022,2,puducherry,24656176160.676743
2022,2,dadra-&-nagar-haveli-&-daman-&-diu,13990319561.621677
2022,2,arunachal-pradesh,12512964747.768122
2022,2,sikkim,10349253104.004936
2022,2,nagaland,9921969598.429766
2022,2,tripura,9382820489.633593
2022,2,meghalaya,8324706908.152523
2022,2,ladakh,6843080719.053912
2022,2,andaman-&-nicobar-islands,5120686385.001726
2022,2,mizoram,3338662543.9794607
2022,2,lakshadweep,111859203.97981137
2022,3,telangana,3891159861973.1514
2022,3,maharashtra,2114640336488.535
2022,3,karnataka,1727525986030.2258
2022,3,rajasthan,1430318843049.5344
2022,3,andhra-pradesh,1363583604779.432
2022,3,madhya-pradesh,1282009049147.8955
2022,3,delhi,1070093158690.0657
2022,3,uttar-pradesh,864330689735.4392
2022,3,bihar,813821076785.8367
2022,3,west-bengal,783904116168.7352
2022,3,tamil-nadu,645704398825.8257
2022,3,odisha,633371777486.4764
2022,3,gujarat,588026169214.7635
2022,3,haryana,451437141716.0442
2022,3,chhattisgarh,272835919607.87805
2022,3,jharkhand,257393557236.71237
2022,3,punjab,184286638122.60574
2022,3,kerala,183234398302.89346
2022,3,assam,180039713588.0101
2022,3,uttarakhand,140901194402.97318
2022,3,himachal-pradesh,53354686819.174995
2022,3,jammu-&-kashmir,45423514840.53962
2022,3,chandigarh,38945743585.73644
2022,3,goa,29675947248.84831
2022,3,manipur,27348274211.493446
2022,3,puducherry,18797975355.626827
2022,3,meghalaya,16679323636.658777
2022,3,dadra-&-nagar-haveli-&-daman-&-diu,15041294718.998878
2022,3,tripura,12455208321.293476
2022,3,arunachal-pradesh,12322638596.806498
2022,3,sikkim,9487913086.22423
2022,3,nagaland,9214020237.06822
2022,3,ladakh,6954527412.481796
2022,3,andaman-&-nicobar-islands,6335664741.228659
2022,3,mizoram,3268341400.0273604
2022,3,lakshadweep,95160019.23500054
2022,4,telangana,4304871347445.117
2022,4,maharashtra,2427972999541.429
2022,4,karnataka,2053494711137.2112
2022,4,rajasthan,1700586312613.233
2022,4,madhya-pradesh,1675645899599.7788
2022,4,andhra-pradesh,1390721039064.0469
2022,4,delhi,1182874882356.5337
2022,4,uttar-pradesh,1083037383482.6423
2022,4,bihar,960036756985.8467
2022,4,west-bengal,906762256809.4484
2022,4,odisha,729850504828.0074
2022,4,tamil-nadu,706473875301.6943
2022,4,gujarat,669363195729.1405
2022,4,haryana,522024171421.4787
2022,4,jharkhand,317979906207.8296
2022,4,chhattisgarh,311806183712.50055
